probe_id,gene_symbol,entrez_gene_id,sepsis_mean,healthy_mean,mean_difference,p_value,fdr
ILMN_1788764,BPGM,669.0,4.563948757608696,4.252232216166667,0.31171654144202865,0.0006628724028335836,0.0013242447616265002
ILMN_2181089,VPRBP,9730.0,4.805304910913042,4.451303336666666,0.354001574246376,0.0006628843198022512,0.0013242098114498516
ILMN_1683170,LOC653047,653047.0,4.510971873434783,4.226192056583333,0.28477981685144993,0.0006628889497474397,0.0013241603081094538
ILMN_1708463,UBE2E3,10477.0,4.5500390671739135,4.259710089083333,0.29032897809058067,0.0006630996539218697,0.001324522436491763
ILMN_1768164,MGC15705,84843.0,4.472910476652174,4.213687965,0.25922251165217425,0.0006634093892055513,0.0013250823357526967
ILMN_1887735,,,4.775407839999999,4.306696158249999,0.46871168174999944,0.0006635011669520754,0.0013252068600693502
ILMN_1667962,LOC647212,647212.0,4.517683244478261,4.232019953333333,0.2856632911449273,0.0006635757265872808,0.0013252969852344029
ILMN_2291862,RFPL3S,10737.0,4.444768259260869,4.185384641333333,0.2593836179275355,0.0006636674322631062,0.0013254213450488747
ILMN_1790190,LOC643774,643774.0,4.605366193086956,4.219410096833333,0.38595609625362304,0.000663711446394539,0.0013254504524737782
ILMN_2380605,MTMR3,8897.0,6.874815988173912,5.911194926333334,0.9636210618405787,0.0006637119434755022,0.0013253926563957037
ILMN_1790114,LOC474170,474170.0,4.991448872173914,4.388100752000001,0.603348120173913,0.000663791021111098,0.0013254917791052007
ILMN_1677439,GLS2,27165.0,4.555331026173913,4.264752377,0.29057864917391285,0.0006638052584767827,0.001325461422405543
ILMN_3241738,SNORD20,6082.0,4.499513822043478,4.223754006083333,0.27575981596014465,0.0006638867193008817,0.001325565291723961
ILMN_1749419,PRKAG2,51422.0,4.719928424478261,4.3554591018333335,0.3644693226449274,0.0006639569514897296,0.0013256467329012015
ILMN_1677080,C11orf60,56912.0,5.042692511695653,4.6326751945,0.4100173171956527,0.0006640517140776946,0.0013257771417196594
ILMN_1688730,DNAJC18,202052.0,4.809068255478261,4.374358429833333,0.43470982564492733,0.0006641621873564644,0.0013259389039264853
ILMN_1778053,SLC39A7,7922.0,4.541277497739131,4.230921441416666,0.31035605632246455,0.0006643101953261712,0.0013261755830341953
ILMN_1821876,,,5.0080687131739134,4.462203416166667,0.5458652970072464,0.0006643338599787129,0.001326164023136543
ILMN_1658717,DEPDC5,9681.0,5.2152772255217394,4.784468043916666,0.4308091816050732,0.0006643627567792355,0.001326162908378254
ILMN_3217074,LOC100132767,100132767.0,4.464804553826086,4.207209270416667,0.25759528340941973,0.000664395985997003,0.001326170441458728
ILMN_1692049,SLC7A6OS,84138.0,5.606512812304349,5.061074353166667,0.5454384591376815,0.000664412042745063,0.001326143698209468
ILMN_1815490,LOC653683,653683.0,4.483858948652175,4.220016265500001,0.2638426831521743,0.0006644426047981496,0.0013261459081402203
ILMN_1793263,C1orf94,84970.0,4.486916465826086,4.232615675416667,0.25430079040941944,0.0006644994148046077,0.0013262005032469459
ILMN_3177104,LOC100130692,100130692.0,4.472784842565217,4.213736962,0.259047880565217,0.0006651116048190535,0.001327363465592564
ILMN_3237569,LOC727677,727677.0,4.467432376695652,4.204131762333334,0.26330061436231844,0.000665151703524714,0.0013273846526214795
ILMN_1672818,FLJ36032,284485.0,4.538011059652174,4.260614800333333,0.2773962593188406,0.0006651550153288197,0.0013273324286477018
ILMN_1778929,LOC339047,339047.0,4.489571876652175,4.212626913749999,0.2769449629021752,0.0006652012393450913,0.0013273658378333577
ILMN_1743483,FLJ14186,401149.0,4.704941192434782,4.337912429583334,0.36702876285144814,0.0006653132152475763,0.001327530441858342
ILMN_1766499,HSPA2,3306.0,4.568699345173912,4.286723498083334,0.2819758470905782,0.000665458675558713,0.001327761841333035
ILMN_2138745,C14orf37,145407.0,4.506314334956521,4.2539614642500005,0.25235287070652035,0.0006654793361703021,0.0013277442237168975
ILMN_1837692,,,4.64961001473913,4.269884386416667,0.37972562832246304,0.0006656829209541912,0.00132809155626005
ILMN_1819923,,,4.561736790695652,4.258986236416667,0.302750554278985,0.0006659183995814958,0.0013285024860137222
ILMN_3203656,LOC647055,647055.0,4.505144508956522,4.237567723333333,0.26757678562318876,0.0006659437733877743,0.001328494240295882
ILMN_1672720,PRSS12,8492.0,4.559646448304347,4.272889498666667,0.28675694963768006,0.0006660086057458923,0.0013285647078643027
ILMN_1698706,NID2,22795.0,4.5110218375217395,4.23421639825,0.2768054392717394,0.0006661326736731662,0.0013287533280221064
ILMN_1735958,METTL2B,55798.0,4.64832126126087,4.2678574173333335,0.3804638439275365,0.0006661607399932314,0.0013287504428812359
ILMN_1695226,DIAPH3,81624.0,4.516033752695652,4.245590301083333,0.2704434516123184,0.0006663490930830922,0.0013290672581349426
ILMN_3278421,LOC651861,651861.0,4.5834830737391306,4.302933018666667,0.2805500550724638,0.0006663645864329296,0.0013290392830233803
ILMN_1768411,LOC645444,645444.0,4.493853527608695,4.216100219583333,0.27775330802536224,0.000666491346060396,0.0013292332169956682
ILMN_1799837,LOC727848,727848.0,4.771342401,4.3833984269999995,0.3879439740000006,0.0006668326900785898,0.0013298550764266632
ILMN_2290007,COBRA1,25920.0,4.553127755608696,4.289087937916666,0.26403981769203,0.0006668654301531553,0.0013298614635153256
ILMN_1653995,LOC390570,390570.0,4.560215055869564,4.274194291583332,0.28602076428623224,0.0006668843761289171,0.0013298403430973618
